,type,mombi2,moead,nsgaii,spea2
0,0,0.3426852331247197,0.39456641046778745,0.3416978028049039,0.34359126518541466
2,0,0.3937704388528505,0.3810555275205371,0.3074959393868901,0.334002471268533
4,0,0.33608954409393266,0.3770098582740857,0.3301012364769096,0.3503339525005955
6,0,0.3861631023454518,0.3805810020858473,0.3087870133307222,0.3497954556796233
8,0,0.3741543058091112,0.3823269214546159,0.3537390106628001,0.3309998693307014
10,0,0.3629867139244127,0.375226486441248,0.2989520193836868,0.35262020837640345
12,0,0.3650978110405925,0.3810535200242392,0.3207852481594356,0.3559904113070956
14,0,0.3781723224727198,0.3939289012804318,0.3199443124519508,0.3537619812104008
16,0,0.38381414938088826,0.3708486193149154,0.327436743651768,0.3391849587173075
18,0,0.3754307127300017,0.3828224144295591,0.3252988077146605,0.345810558460914
20,0,0.3824584418931401,0.4025826507331787,0.34470715822665554,0.3348505000335833
22,0,0.3538126691285172,0.3793696479218777,0.34681999071263,0.3374665586422183
24,0,0.3932178914219663,0.387884053797239,0.2991448708023314,0.35916692838366704
26,0,0.4124109554402392,0.3845490711943015,0.31163169262121004,0.3307069897436279
28,0,0.4022855719030391,0.3814983004757062,0.3195146680114725,0.3460383016811446
30,0,0.4059536553204598,0.3735402419915786,0.33012495645948536,0.3324928145989629
32,0,0.39340749313646095,0.4000482212971078,0.3078769386009287,0.3618279672729176
34,0,0.3906619624595628,0.39337774396052294,0.2958537722570712,0.3215947340815306
36,0,0.3867803425943015,0.3840442206040246,0.33187057845970497,0.34557846511377904
38,0,0.395718398594346,0.3926792040110112,0.3125171176726952,0.3365829402797689
40,0,0.33474278997335954,0.3881431127368235,0.32439010070878804,0.3268814335848632
42,0,0.389212685257511,0.3702948331216245,0.31001064845294063,0.3406351306699271
44,0,0.3852483620096563,0.3970751388959641,0.3252214511789338,0.3425517596336769
46,0,0.3737137020553096,0.3715176014913989,0.3176296483096908,0.34707638098039706
48,0,0.3831764589557067,0.39136731933427255,0.3351731798107493,0.3390821570625249
50,0,0.4095725388022515,0.3846759509387728,0.3153176169457008,0.3434276148393969
52,0,0.3421492429423555,0.3877059609575215,0.3199160299682849,0.3438952507700393
54,0,0.3823961368055504,0.3942589381402999,0.3340259113800619,0.3463617443687885
56,0,0.39929889778693495,0.3976034362023906,0.3009134589423042,0.3473858057066892
58,0,0.3303382107814239,0.4004883027417573,0.3343798218236184,0.3549814966261249
